Z75	शून्य सात पाँच
8	आठ
7	सात
3	तीन
674	छः सात चार
7	सात
52	पाँच दो
99	नौ नौ
O68O3	शून्य छः आठ शून्य तीन
9	नौ
9	नौ
9422383	नौ चार दो दो तीन आठ तीन
61	छः एक
OO33589	शून्य शून्य तीन तीन पाँच आठ नौ
7Z73	सात शून्य सात तीन
2449	दो चार चार नौ
2	दो
8	आठ
O	शून्य
14	एक चार
72	सात दो
78	सात आठ
9O46972	नौ शून्य चार छः नौ सात दो
79Z8188	सात नौ शून्य आठ एक आठ आठ
1	एक
75O5	सात पाँच शून्य पाँच
63621	छः तीन छः दो एक
4465	चार चार छः पाँच
6ZZ	छः शून्य शून्य
19	एक नौ
58763	पाँच आठ सात छः तीन
4	चार
829	आठ दो नौ
254Z	दो पाँच चार शून्य
11Z2528	एक एक शून्य दो पाँच दो आठ
5	पाँच
67Z6771	छः सात शून्य छः सात सात एक
Z5	शून्य पाँच
O96	शून्य नौ छः
44951	चार चार नौ पाँच एक
8O73	आठ शून्य सात तीन
3	तीन
4	चार
6	छः
5966	पाँच नौ छः छः
2	दो
32793	तीन दो सात नौ तीन
268	दो छः आठ
48	चार आठ
5	पाँच
8514O	आठ पाँच एक चार शून्य
O9	शून्य नौ
82O87O3	आठ दो शून्य आठ सात शून्य तीन
9O3	नौ शून्य तीन
O	शून्य
92	नौ दो
1O237	एक शून्य दो तीन सात
O8O	शून्य आठ शून्य
Z	शून्य
9123	नौ एक दो तीन
Z	शून्य
6	छः
7565	सात पाँच छः पाँच
Z17Z	शून्य एक सात शून्य
Z477	शून्य चार सात सात
Z722948	शून्य सात दो दो नौ चार आठ
398	तीन नौ आठ
73Z	सात तीन शून्य
9474164	नौ चार सात चार एक छः चार
378	तीन सात आठ
38	तीन आठ
3OO	तीन शून्य शून्य
18	एक आठ
2O742	दो शून्य सात चार दो
8	आठ
7	सात
3	तीन
7	सात
52	पाँच दो
53ZZ7Z3	पाँच तीन शून्य शून्य सात शून्य तीन
9	नौ
9	नौ
4345	चार तीन चार पाँच
24Z2243	दो चार शून्य दो दो चार तीन
OO1	शून्य शून्य एक
1366955	एक तीन छः छः नौ पाँच पाँच
2ZZ33	दो शून्य शून्य तीन तीन
O1	शून्य एक
2	दो
8	आठ
O	शून्य
42713	चार दो सात एक तीन
84149	आठ चार एक चार नौ
5999	पाँच नौ नौ नौ
68	छः आठ
645Z935	छः चार पाँच शून्य नौ तीन पाँच
Z86ZZ	शून्य आठ छः शून्य शून्य
2Z7	दो शून्य सात
O3OO	शून्य तीन शून्य शून्य
1	एक
4Z3363Z	चार शून्य तीन तीन छः तीन शून्य
25283	दो पाँच दो आठ तीन
721	सात दो एक
19	एक नौ
95	नौ पाँच
4	चार
931Z1	नौ तीन एक शून्य एक
8O8	आठ शून्य आठ
6989642	छः नौ आठ नौ छः चार दो
35Z29	तीन पाँच शून्य दो नौ
Z47Z997	शून्य चार सात शून्य नौ नौ सात
486O	चार आठ छः शून्य
5	पाँच
8O2	आठ शून्य दो
91	नौ एक
67Z93	छः सात शून्य नौ तीन
2829	दो आठ दो नौ
3	तीन
4	चार
6	छः
2	दो
161O567	एक छः एक शून्य पाँच छः सात
96662	नौ छः छः छः दो
71	सात एक
2Z61858	दो शून्य छः एक आठ पाँच आठ
5	पाँच
39	तीन नौ
7O7	सात शून्य सात
O556	शून्य पाँच पाँच छः
783	सात आठ तीन
O932	शून्य नौ तीन दो
O	शून्य
5Z168	पाँच शून्य एक छः आठ
513	पाँच एक तीन
Z	शून्य
32	तीन दो
Z	शून्य
6	छः
6Z	छः शून्य
ZZ44	शून्य शून्य चार चार
6811	छः आठ एक एक
8194126	आठ एक नौ चार एक दो छः
38	तीन आठ
88Z57	आठ आठ शून्य पाँच सात
2O9O987	दो शून्य नौ शून्य नौ आठ सात
126	एक दो छः
Z384359	शून्य तीन आठ चार तीन पाँच नौ
O6	शून्य छः
49O69	चार नौ शून्य छः नौ
54923	पाँच चार नौ दो तीन
4OO	चार शून्य शून्य
8	आठ
658Z	छः पाँच आठ शून्य
7	सात
3	तीन
O8	शून्य आठ
Z754	शून्य सात पाँच चार
7	सात
9	नौ
45OO2	चार पाँच शून्य शून्य दो
821	आठ दो एक
9	नौ
5941484	पाँच नौ चार एक चार आठ चार
3OO43	तीन शून्य शून्य चार तीन
Z277	शून्य दो सात सात
O1	शून्य एक
2	दो
1577391	एक पाँच सात सात तीन नौ एक
8	आठ
7465	सात चार छः पाँच
O	शून्य
1171889	एक एक सात एक आठ आठ नौ
534	पाँच तीन चार
69	छः नौ
Z4593Z1	शून्य चार पाँच नौ तीन शून्य एक
1O863O4	एक शून्य आठ छः तीन शून्य चार
1	एक
ZZ	शून्य शून्य
1964143	एक नौ छः चार एक चार तीन
3544827	तीन पाँच चार चार आठ दो सात
4	चार
2Z9	दो शून्य नौ
5	पाँच
35OOO58	तीन पाँच शून्य शून्य शून्य पाँच आठ
6574	छः पाँच सात चार
84	आठ चार
8Z25898	आठ शून्य दो पाँच आठ नौ आठ
Z78	शून्य सात आठ
3	तीन
4	चार
6	छः
2	दो
529O	पाँच दो नौ शून्य
92121	नौ दो एक दो एक
299	दो नौ नौ
33OO3	तीन तीन शून्य शून्य तीन
739O712	सात तीन नौ शून्य सात एक दो
O34O6	शून्य तीन चार शून्य छः
5	पाँच
5991	पाँच नौ नौ एक
39Z8	तीन नौ शून्य आठ
Z3ZZ538	शून्य तीन शून्य शून्य पाँच तीन आठ
Z136	शून्य एक तीन छः
O	शून्य
O1OO2	शून्य एक शून्य शून्य दो
66	छः छः
Z	शून्य
26	दो छः
Z	शून्य
6	छः
85Z6	आठ पाँच शून्य छः
2O224	दो शून्य दो दो चार
7Z551Z8	सात शून्य पाँच पाँच एक शून्य आठ
6Z	छः शून्य
O93	शून्य नौ तीन
428	चार दो आठ
49554	चार नौ पाँच पाँच चार
9Z2	नौ शून्य दो
4Z981	चार शून्य नौ आठ एक
O852	शून्य आठ पाँच दो
7O	सात शून्य
4975Z	चार नौ सात पाँच शून्य
8	आठ
7	सात
3	तीन
7	सात
16O61	एक छः शून्य छः एक
672	छः सात दो
9	नौ
9	नौ
96	नौ छः
147O	एक चार सात शून्य
886	आठ आठ छः
51562ZZ	पाँच एक पाँच छः दो शून्य शून्य
7156	सात एक पाँच छः
113	एक एक तीन
O1	शून्य एक
5O46577	पाँच शून्य चार छः पाँच सात सात
9276	नौ दो सात छः
2	दो
8	आठ
47917	चार सात नौ एक सात
O	शून्य
94O	नौ चार शून्य
33	तीन तीन
8O74	आठ शून्य सात चार
534	पाँच तीन चार
72	सात दो
28797	दो आठ सात नौ सात
8826	आठ आठ दो छः
Z63	शून्य छः तीन
928	नौ दो आठ
O341	शून्य तीन चार एक
1	एक
3Z24578	तीन शून्य दो चार पाँच सात आठ
96747	नौ छः सात चार सात
O257971	शून्य दो पाँच सात नौ सात एक
ZZ94	शून्य शून्य नौ चार
7716668	सात सात एक छः छः छः आठ
38587	तीन आठ पाँच आठ सात
4	चार
6955	छः नौ पाँच पाँच
5986239	पाँच नौ आठ छः दो तीन नौ
9O2O	नौ शून्य दो शून्य
5	पाँच
264	दो छः चार
Z5	शून्य पाँच
34	तीन चार
1ZZ7	एक शून्य शून्य सात
195O18O	एक नौ पाँच शून्य एक आठ शून्य
3	तीन
96879	नौ छः आठ सात नौ
4	चार
6	छः
2	दो
81	आठ एक
48	चार आठ
7O523	सात शून्य पाँच दो तीन
6151	छः एक पाँच एक
5	पाँच
1O9O5	एक शून्य नौ शून्य पाँच
46	चार छः
244	दो चार चार
432O317	चार तीन दो शून्य तीन एक सात
84OO77O	आठ चार शून्य शून्य सात सात शून्य
O	शून्य
37352	तीन सात तीन पाँच दो
Z	शून्य
8Z	आठ शून्य
O8837	शून्य आठ आठ तीन सात
Z	शून्य
6	छः
5ZZ1	पाँच शून्य शून्य एक
122	एक दो दो
654OO	छः पाँच चार शून्य शून्य
36O	तीन छः शून्य
7Z6Z221	सात शून्य छः शून्य दो दो एक
Z83	शून्य आठ तीन
51	पाँच एक
O6547	शून्य छः पाँच चार सात
8	आठ
2731497	दो सात तीन एक चार नौ सात
7	सात
3	तीन
674	छः सात चार
7	सात
278O	दो सात आठ शून्य
55	पाँच पाँच
891Z	आठ नौ एक शून्य
72Z	सात दो शून्य
9	नौ
453Z533	चार पाँच तीन शून्य पाँच तीन तीन
9	नौ
4Z3	चार शून्य तीन
5Z	पाँच शून्य
6O1	छः शून्य एक
16293	एक छः दो नौ तीन
2	दो
8	आठ
9841	नौ आठ चार एक
O	शून्य
O4282	शून्य चार दो आठ दो
Z8	शून्य आठ
2999O94	दो नौ नौ नौ शून्य नौ चार
72	सात दो
897	आठ नौ सात
Z198	शून्य एक नौ आठ
1	एक
7494565	सात चार नौ चार पाँच छः पाँच
659O9OO	छः पाँच नौ शून्य नौ शून्य शून्य
193O534	एक नौ तीन शून्य पाँच तीन चार
71Z8	सात एक शून्य आठ
4	चार
98O2O	नौ आठ शून्य दो शून्य
47O	चार सात शून्य
5	पाँच
996	नौ नौ छः
517	पाँच एक सात
54Z	पाँच चार शून्य
3	तीन
8114	आठ एक एक चार
4	चार
6	छः
2	दो
48	चार आठ
37587	तीन सात पाँच आठ सात
5	पाँच
292Z	दो नौ दो शून्य
712	सात एक दो
889O4O1	आठ आठ नौ शून्य चार शून्य एक
22639Z6	दो दो छः तीन नौ शून्य छः
79128	सात नौ एक दो आठ
O	शून्य
42	चार दो
ZZ556	शून्य शून्य पाँच पाँच छः
6ZZ2	छः शून्य शून्य दो
92	नौ दो
5O366	पाँच शून्य तीन छः छः
Z	शून्य
64677	छः चार छः सात सात
2411O	दो चार एक एक शून्य
32	तीन दो
Z	शून्य
6	छः
Z916	शून्य नौ एक छः
3Z	तीन शून्य
7416227	सात चार एक छः दो दो सात
O296186	शून्य दो नौ छः एक आठ छः
O681	शून्य छः आठ एक
6OO	छः शून्य शून्य
135O6	एक तीन पाँच शून्य छः
8Z3	आठ शून्य तीन
Z7	शून्य सात
9785	नौ सात आठ पाँच
OO	शून्य शून्य
8	आठ
7	सात
6Z733	छः शून्य सात तीन तीन
3	तीन
7	सात
95Z43	नौ पाँच शून्य चार तीन
1ZZ5	एक शून्य शून्य पाँच
3O	तीन शून्य
9	नौ
2O8	दो शून्य आठ
9	नौ
43	चार तीन
1OO7	एक शून्य शून्य सात
17Z4476	एक सात शून्य चार चार सात छः
Z64	शून्य छः चार
8276O	आठ दो सात छः शून्य
O382	शून्य तीन आठ दो
499	चार नौ नौ
2	दो
8	आठ
5753793	पाँच सात पाँच तीन सात नौ तीन
O	शून्य
52Z15ZZ	पाँच दो शून्य एक पाँच शून्य शून्य
O4	शून्य चार
324Z94Z	तीन दो चार शून्य नौ चार शून्य
28	दो आठ
53OO	पाँच तीन शून्य शून्य
1	एक
O219	शून्य दो एक नौ
7Z61591	सात शून्य छः एक पाँच नौ एक
1Z94Z	एक शून्य नौ चार शून्य
5684827	पाँच छः आठ चार आठ दो सात
95	नौ पाँच
61O6875	छः एक शून्य छः आठ सात पाँच
4	चार
3895	तीन आठ नौ पाँच
966O4	नौ छः छः शून्य चार
5	पाँच
36	तीन छः
186	एक आठ छः
723	सात दो तीन
Z9897	शून्य नौ आठ नौ सात
3	तीन
4	चार
6	छः
2	दो
8O75	आठ शून्य सात पाँच
417	चार एक सात
5	पाँच
67433	छः सात चार तीन तीन
2Z	दो शून्य
O97	शून्य नौ सात
45169	चार पाँच एक छः नौ
OO13	शून्य शून्य एक तीन
37	तीन सात
4O63	चार शून्य छः तीन
O	शून्य
78579	सात आठ पाँच सात नौ
16ZZ625	एक छः शून्य शून्य छः दो पाँच
7247	सात दो चार सात
234	दो तीन चार
748O2	सात चार आठ शून्य दो
29	दो नौ
6428	छः चार दो आठ
Z	शून्य
Z7788	शून्य सात सात आठ आठ
8Z7Z4ZZ	आठ शून्य सात शून्य चार शून्य शून्य
Z	शून्य
6	छः
2O88	दो शून्य आठ आठ
Z1Z	शून्य एक शून्य
511	पाँच एक एक
44	चार चार
6ZZZ	छः शून्य शून्य शून्य
8187O81	आठ एक आठ सात शून्य आठ एक
OO3	शून्य शून्य तीन
319	तीन एक नौ
82O	आठ दो शून्य
8	आठ
7	सात
3	तीन
7	सात
Z45Z865	शून्य चार पाँच शून्य आठ छः पाँच
5O35662	पाँच शून्य तीन पाँच छः छः दो
3O	तीन शून्य
9	नौ
9	नौ
96	नौ छः
13Z5Z17	एक तीन शून्य पाँच शून्य एक सात
47732	चार सात सात तीन दो
9O583	नौ शून्य पाँच आठ तीन
Z8463	शून्य आठ चार छः तीन
8Z2	आठ शून्य दो
53	पाँच तीन
2	दो
8	आठ
O	शून्य
14	एक चार
O4	शून्य चार
67Z5	छः सात शून्य पाँच
246OO54	दो चार छः शून्य शून्य पाँच चार
9936542	नौ नौ तीन छः पाँच चार दो
474	चार सात चार
2739434	दो सात तीन नौ चार तीन चार
1	एक
323	तीन दो तीन
85Z54	आठ पाँच शून्य पाँच चार
Z6	शून्य छः
4	चार
66Z3	छः छः शून्य तीन
7521	सात पाँच दो एक
287	दो आठ सात
61OO2OO	छः एक शून्य शून्य दो शून्य शून्य
5	पाँच
531	पाँच तीन एक
44O9	चार चार शून्य नौ
47879	चार सात आठ सात नौ
9498	नौ चार नौ आठ
2965O	दो नौ छः पाँच शून्य
86	आठ छः
76128	सात छः एक दो आठ
6O3	छः शून्य तीन
2ZZ4591	दो शून्य शून्य चार पाँच नौ एक
42688	चार दो छः आठ आठ
Z9983	शून्य नौ नौ आठ तीन
3	तीन
54Z42	पाँच चार शून्य चार दो
4	चार
517Z995	पाँच एक सात शून्य नौ नौ पाँच
6	छः
2	दो
181Z2	एक आठ एक शून्य दो
11462O8	एक एक चार छः दो शून्य आठ
7Z891	सात शून्य आठ नौ एक
35	तीन पाँच
71	सात एक
5	पाँच
4592464	चार पाँच नौ दो चार छः चार
66719	छः छः सात एक नौ
O	शून्य
972	नौ सात दो
ZZ7Z	शून्य शून्य सात शून्य
92	नौ दो
Z	शून्य
13Z	एक तीन शून्य
15O6	एक पाँच शून्य छः
Z	शून्य
6	छः
33O169O	तीन तीन शून्य एक छः नौ शून्य
58Z843Z	पाँच आठ शून्य आठ चार तीन शून्य
38648O4	तीन आठ छः चार आठ शून्य चार
97822	नौ सात आठ दो दो
817	आठ एक सात
1279	एक दो सात नौ
358	तीन पाँच आठ
Z157	शून्य एक पाँच सात
7O	सात शून्य
9O8O	नौ शून्य आठ शून्य
OO	शून्य शून्य
O63	शून्य छः तीन
8	आठ
7	सात
3	तीन
7	सात
25	दो पाँच
9	नौ
9	नौ
6O	छः शून्य
O49O373	शून्य चार नौ शून्य तीन सात तीन
O1	शून्य एक
5241	पाँच दो चार एक
2	दो
8219388	आठ दो एक नौ तीन आठ आठ
8	आठ
ZZ76	शून्य शून्य सात छः
8Z1	आठ शून्य एक
O	शून्य
O5	शून्य पाँच
78	सात आठ
8311Z18	आठ तीन एक एक शून्य एक आठ
29O	दो नौ शून्य
1	एक
ZZ	शून्य शून्य
769ZZ	सात छः नौ शून्य शून्य
4	चार
4571	चार पाँच सात एक
2641736	दो छः चार एक सात तीन छः
389	तीन आठ नौ
7O1586O	सात शून्य एक पाँच आठ छः शून्य
5	पाँच
6O166	छः शून्य एक छः छः
56Z	पाँच छः शून्य
84428	आठ चार चार दो आठ
Z56	शून्य पाँच छः
9475214	नौ चार सात पाँच दो एक चार
O9O4	शून्य नौ शून्य चार
Z62ZZ3Z	शून्य छः दो शून्य शून्य तीन शून्य
354O	तीन पाँच चार शून्य
4325	चार तीन दो पाँच
3	तीन
4	चार
6	छः
2	दो
9Z8	नौ शून्य आठ
5212Z19	पाँच दो एक दो शून्य एक नौ
1225	एक दो दो पाँच
81	आठ एक
5	पाँच
1423	एक चार दो तीन
177	एक सात सात
46	चार छः
24	दो चार
963O65O	नौ छः तीन शून्य छः पाँच शून्य
393Z	तीन नौ तीन शून्य
O7O91	शून्य सात शून्य नौ एक
94469	नौ चार चार छः नौ
1681	एक छः आठ एक
O	शून्य
387	तीन आठ सात
234	दो तीन चार
7372	सात तीन सात दो
Z	शून्य
OO2722O	शून्य शून्य दो सात दो दो शून्य
6Z97Z	छः शून्य नौ सात शून्य
26	दो छः
95311	नौ पाँच तीन एक एक
Z	शून्य
6	छः
557	पाँच पाँच सात
6792Z	छः सात नौ दो शून्य
5549962	पाँच पाँच चार नौ नौ छः दो
8O78335	आठ शून्य सात आठ तीन तीन पाँच
741O8	सात चार एक शून्य आठ
613OOO4	छः एक तीन शून्य शून्य शून्य चार
1Z36	एक शून्य तीन छः
O6	शून्य छः
Z7	शून्य सात
539	पाँच तीन नौ
OO	शून्य शून्य
8	आठ
7	सात
3	तीन
7	सात
Z28	शून्य दो आठ
9	नौ
9	नौ
8585O	आठ पाँच आठ पाँच शून्य
4Z	चार शून्य
4Z67	चार शून्य छः सात
2	दो
8	आठ
O	शून्य
68	छः आठ
37Z8Z	तीन सात शून्य आठ शून्य
1	एक
5227Z	पाँच दो दो सात शून्य
83628	आठ तीन छः दो आठ
12	एक दो
Z6	शून्य छः
4	चार
9512	नौ पाँच एक दो
5	पाँच
6696	छः छः नौ छः
15Z679Z	एक पाँच शून्य छः सात नौ शून्य
Z46Z48Z	शून्य चार छः शून्य चार आठ शून्य
1645	एक छः चार पाँच
O3OO5	शून्य तीन शून्य शून्य पाँच
67O	छः सात शून्य
735	सात तीन पाँच
6684O9O	छः छः आठ चार शून्य नौ शून्य
23Z8	दो तीन शून्य आठ
84	आठ चार
76169	सात छः एक छः नौ
3	तीन
4	चार
6	छः
2	दो
3O855	तीन शून्य आठ पाँच पाँच
5	पाँच
41O4749	चार एक शून्य चार सात चार नौ
1Z237	एक शून्य दो तीन सात
7453	सात चार पाँच तीन
2Z	दो शून्य
388	तीन आठ आठ
82	आठ दो
335	तीन तीन पाँच
6ZZ961Z	छः शून्य शून्य नौ छः एक शून्य
O	शून्य
1482	एक चार आठ दो
281	दो आठ एक
Z	शून्य
59	पाँच नौ
246	दो चार छः
4189	चार एक आठ नौ
49	चार नौ
Z	शून्य
6	छः
Z89158Z	शून्य आठ नौ एक पाँच आठ शून्य
7925	सात नौ दो पाँच
O14O	शून्य एक चार शून्य
36OO719	तीन छः शून्य शून्य सात एक नौ
93	नौ तीन
94	नौ चार
O872934	शून्य आठ सात दो नौ तीन चार
8	आठ
7	सात
3	तीन
819OO42	आठ एक नौ शून्य शून्य चार दो
973	नौ सात तीन
32687	तीन दो छः आठ सात
O2188	शून्य दो एक आठ आठ
7	सात
78399	सात आठ तीन नौ नौ
91177	नौ एक एक सात सात
9	नौ
9	नौ
6517571	छः पाँच एक सात पाँच सात एक
ZZ1	शून्य शून्य एक
2Z3	दो शून्य तीन
Z9Z	शून्य नौ शून्य
53	पाँच तीन
4Z	चार शून्य
2	दो
8	आठ
8Z1	आठ शून्य एक
O	शून्य
42O9	चार दो शून्य नौ
O5O1392	शून्य पाँच शून्य एक तीन नौ दो
5O27	पाँच शून्य दो सात
58544	पाँच आठ पाँच चार चार
2125227	दो एक दो पाँच दो दो सात
147	एक चार सात
695O172	छः नौ पाँच शून्य एक सात दो
7428	सात चार दो आठ
1O32	एक शून्य तीन दो
1	एक
O436	शून्य चार तीन छः
34O15	तीन चार शून्य एक पाँच
8O9	आठ शून्य नौ
11ZZ167	एक एक शून्य शून्य एक छः सात
Z6	शून्य छः
4	चार
9O62OO8	नौ शून्य छः दो शून्य शून्य आठ
72O2	सात दो शून्य दो
881	आठ आठ एक
5	पाँच
6296O93	छः दो नौ छः शून्य नौ तीन
77194	सात सात एक नौ चार
91	नौ एक
491OO78	चार नौ एक शून्य शून्य सात आठ
3	तीन
847Z	आठ चार सात शून्य
4	चार
6	छः
2	दो
3O4O	तीन शून्य चार शून्य
189O5	एक आठ नौ शून्य पाँच
56	पाँच छः
5	पाँच
4924	चार नौ दो चार
9ZZ	नौ शून्य शून्य
41	चार एक
66OO8	छः छः शून्य शून्य आठ
5OO	पाँच शून्य शून्य
9834	नौ आठ तीन चार
Z7Z	शून्य सात शून्य
O	शून्य
2868154	दो आठ छः आठ एक पाँच चार
7961443	सात नौ छः एक चार चार तीन
29	दो नौ
9864	नौ आठ छः चार
Z	शून्य
8ZZ9752	आठ शून्य शून्य नौ सात पाँच दो
5682	पाँच छः आठ दो
Z	शून्य
6	छः
O6	शून्य छः
O38	शून्य तीन आठ
3Z844	तीन शून्य आठ चार चार
639	छः तीन नौ
7394	सात तीन नौ चार
18	एक आठ
887516Z	आठ आठ सात पाँच एक छः शून्य
8	आठ
7	सात
3	तीन
27659	दो सात छः पाँच नौ
7	सात
Z8995	शून्य आठ नौ नौ पाँच
69936	छः नौ नौ तीन छः
9	नौ
Z35ZZ	शून्य तीन पाँच शून्य शून्य
9	नौ
42Z23	चार दो शून्य दो तीन
53	पाँच तीन
2	दो
8	आठ
45	चार पाँच
O	शून्य
24O	दो चार शून्य
O5	शून्य पाँच
5823O	पाँच आठ दो तीन शून्य
33	तीन तीन
385	तीन आठ पाँच
Z41	शून्य चार एक
O213551	शून्य दो एक तीन पाँच पाँच एक
69	छः नौ
5257222	पाँच दो पाँच सात दो दो दो
Z372782	शून्य तीन सात दो सात आठ दो
Z6671Z1	शून्य छः छः सात एक शून्य एक
OO48	शून्य शून्य चार आठ
1	एक
ZZ	शून्य शून्य
Z6	शून्य छः
863369O	आठ छः तीन तीन छः नौ शून्य
419	चार एक नौ
Z44Z392	शून्य चार चार शून्य तीन नौ दो
4	चार
32O	तीन दो शून्य
O18	शून्य एक आठ
5	पाँच
755	सात पाँच पाँच
86	आठ छः
46858	चार छः आठ पाँच आठ
67O	छः सात शून्य
32751	तीन दो सात पाँच एक
29198Z5	दो नौ एक नौ आठ शून्य पाँच
3	तीन
211Z	दो एक एक शून्य
4	चार
1545O	एक पाँच चार पाँच शून्य
6	छः
2	दो
83OO1	आठ तीन शून्य शून्य एक
5	पाँच
343Z	तीन चार तीन शून्य
289Z568	दो आठ नौ शून्य पाँच छः आठ
934	नौ तीन चार
96116	नौ छः एक एक छः
3854	तीन आठ पाँच चार
7792449	सात सात नौ दो चार चार नौ
6Z9	छः शून्य नौ
O	शून्य
1465	एक चार छः पाँच
13Z9	एक तीन शून्य नौ
Z	शून्य
59	पाँच नौ
83631	आठ तीन छः तीन एक
53815	पाँच तीन आठ एक पाँच
952	नौ पाँच दो
Z	शून्य
6	छः
17	एक सात
9439947	नौ चार तीन नौ नौ चार सात
79	सात नौ
7764	सात सात छः चार
8O5O	आठ शून्य पाँच शून्य
OO625	शून्य शून्य छः दो पाँच
74556	सात चार पाँच पाँच छः
O933	शून्य नौ तीन तीन
51	पाँच एक
2648849	दो छः चार आठ आठ चार नौ
OO	शून्य शून्य
8	आठ
7	सात
3	तीन
97O29	नौ सात शून्य दो नौ
7	सात
9	नौ
3O3	तीन शून्य तीन
9	नौ
4ZZ4	चार शून्य शून्य चार
58Z23	पाँच आठ शून्य दो तीन
61	छः एक
6535Z7Z	छः पाँच तीन पाँच शून्य सात शून्य
4Z2Z	चार शून्य दो शून्य
2	दो
8	आठ
142	एक चार दो
O	शून्य
4O3	चार शून्य तीन
28	दो आठ
OO86	शून्य शून्य आठ छः
81516	आठ एक पाँच एक छः
4Z5	चार शून्य पाँच
Z91	शून्य नौ एक
64	छः चार
1	एक
2877	दो आठ सात सात
4Z3Z8	चार शून्य तीन शून्य आठ
89Z	आठ नौ शून्य
88	आठ आठ
4	चार
9459714	नौ चार पाँच नौ सात एक चार
Z99Z461	शून्य नौ नौ शून्य चार छः एक
9Z78	नौ शून्य सात आठ
17966O6	एक सात नौ छः छः शून्य छः
5	पाँच
31	तीन एक
2O9	दो शून्य नौ
5O5	पाँच शून्य पाँच
31O7	तीन एक शून्य सात
98233	नौ आठ दो तीन तीन
3	तीन
4	चार
6	छः
2	दो
Z2	शून्य दो
36937ZZ	तीन छः नौ तीन सात शून्य शून्य
99224	नौ नौ दो दो चार
591O4	पाँच नौ एक शून्य चार
81	आठ एक
722Z	सात दो दो शून्य
5	पाँच
7945	सात नौ चार पाँच
1Z65	एक शून्य छः पाँच
O	शून्य
74O3O35	सात चार शून्य तीन शून्य तीन पाँच
786	सात आठ छः
Z	शून्य
4834	चार आठ तीन चार
24387O8	दो चार तीन आठ सात शून्य आठ
575O68O	पाँच सात पाँच शून्य छः आठ शून्य
26	दो छः
925	नौ दो पाँच
Z	शून्य
6	छः
547	पाँच चार सात
11Z	एक एक शून्य
38O5329	तीन आठ शून्य पाँच तीन दो नौ
6O235	छः शून्य दो तीन पाँच
48495	चार आठ चार नौ पाँच
Z5256	शून्य पाँच दो पाँच छः
4OO	चार शून्य शून्य
8	आठ
7	सात
89	आठ नौ
3	तीन
O2	शून्य दो
58	पाँच आठ
7	सात
13	एक तीन
63Z47	छः तीन शून्य चार सात
9	नौ
9	नौ
OO1	शून्य शून्य एक
63662	छः तीन छः छः दो
68O4212	छः आठ शून्य चार दो एक दो
32Z3	तीन दो शून्य तीन
2	दो
8	आठ
198ZZ18	एक नौ आठ शून्य शून्य एक आठ
O	शून्य
7185	सात एक आठ पाँच
O112758	शून्य एक एक दो सात पाँच आठ
Z765	शून्य सात छः पाँच
28	दो आठ
O7677	शून्य सात छः सात सात
33465	तीन तीन चार छः पाँच
1	एक
3Z278	तीन शून्य दो सात आठ
9Z	नौ शून्य
276	दो सात छः
4367	चार तीन छः सात
95	नौ पाँच
4	चार
8437	आठ चार तीन सात
O5O9	शून्य पाँच शून्य नौ
5417	पाँच चार एक सात
163	एक छः तीन
5	पाँच
O2366	शून्य दो तीन छः छः
1OO	एक शून्य शून्य
Z5	शून्य पाँच
86	आठ छः
735	सात तीन पाँच
44916	चार चार नौ एक छः
8981	आठ नौ आठ एक
318	तीन एक आठ
3	तीन
9O	नौ शून्य
4	चार
6	छः
2	दो
22O8452	दो दो शून्य आठ चार पाँच दो
Z3Z7972	शून्य तीन शून्य सात नौ सात दो
115	एक एक पाँच
613	छः एक तीन
6Z32	छः शून्य तीन दो
5	पाँच
39	तीन नौ
66897	छः छः आठ नौ सात
4753551	चार सात पाँच तीन पाँच पाँच एक
O9	शून्य नौ
O	शून्य
255Z5	दो पाँच पाँच शून्य पाँच
1ZZZ8	एक शून्य शून्य शून्य आठ
29	दो नौ
Z	शून्य
4Z96	चार शून्य नौ छः
53394OO	पाँच तीन तीन नौ चार शून्य शून्य
521	पाँच दो एक
Z	शून्य
6	छः
17	एक सात
8387141	आठ तीन आठ सात एक चार एक
693	छः नौ तीन
77Z6224	सात सात शून्य छः दो दो चार
O73O7O5	शून्य सात तीन शून्य सात शून्य पाँच
Z699	शून्य छः नौ नौ
78Z4Z	सात आठ शून्य चार शून्य
Z7	शून्य सात
75O32	सात पाँच शून्य तीन दो
5964498	पाँच नौ छः चार चार नौ आठ
9Z1	नौ शून्य एक
8	आठ
ZZ21	शून्य शून्य दो एक
7	सात
3	तीन
58	पाँच आठ
7	सात
9	नौ
9	नौ
O87626O	शून्य आठ सात छः दो छः शून्य
6142	छः एक चार दो
7O156	सात शून्य एक पाँच छः
2	दो
48568O4	चार आठ पाँच छः आठ शून्य चार
8	आठ
O	शून्य
946	नौ चार छः
3747	तीन सात चार सात
82579	आठ दो पाँच सात नौ
2OO2O34	दो शून्य शून्य दो शून्य तीन चार
4ZZ	चार शून्य शून्य
49433O4	चार नौ चार तीन तीन शून्य चार
1	एक
1O9	एक शून्य नौ
95958	नौ पाँच नौ पाँच आठ
9Z	नौ शून्य
98Z787Z	नौ आठ शून्य सात आठ सात शून्य
6861	छः आठ छः एक
Z6	शून्य छः
2O78	दो शून्य सात आठ
4	चार
16814	एक छः आठ एक चार
11352	एक एक तीन पाँच दो
73	सात तीन
